CodeDescription,UnitSize,PackSize,Qty,UnitPrice,LinePrice,V.A.T,Barcode,IndividualPrice,Cost,ProductCode,Description
172354 - FACE CLOTHS MICRO 3PK ASST(R),,12,2,7.20,14.40,1,5023674115813,0.6,0.60,FACE CLOTHS MICRO 3PK ASST(R),172354 
865917 - FRUCTIS SHAMPOO COLOUR LAST,250ML,6,1,4.49,4.49,1,3600540413505,0.748333333,0.75,FRUCTIS SHAMPOO COLOUR LAST,865917 
022660 - GILLETTE FOAM REGULAR,200ML,6,1,4.05,4.05,1,3014260000318,0.675,0.68,GILLETTE FOAM REGULAR,022660 
046800 - GILLETTE FOAM SENSITIVE,200ML,6,1,4.05,4.05,1,7702018980932,0.675,0.68,GILLETTE FOAM SENSITIVE,046800 
104224 - GILLETTE SHAVE GEL CLASSIC,200ML,6,1,6.79,6.79,1,7702018980901,1.131666667,1.14,GILLETTE SHAVE GEL CLASSIC,104224 
112821 - GILLETTE SHAVE GEL SENSITIVE,200ML,6,1,6.79,6.79,1,7702018980918,1.131666667,1.14,GILLETTE SHAVE GEL SENSITIVE,112821 
178067 - GLADE AEROSOL CRISP COTTON,300ML,12,1,7.99,7.99,1,5000204505238,0.665833333,0.67,GLADE AEROSOL CRISP COTTON,178067 
765795 - GLADE AEROSOL VANILLA CREME,300ML,12,1,7.99,7.99,1,5000204505207,0.665833333,0.67,GLADE AEROSOL VANILLA CREME,765795 
774655 - GLADE SOLID LAVENDER GEL,150GM,8,2,5.49,10.98,1,50204649,0.68625,0.69,GLADE SOLID LAVENDER GEL,774655 
275247 - GLADE SOLID LILY GEL,150GM,8,1,5.49,5.49,1,50204977,0.68625,0.69,GLADE SOLID LILY GEL,275247 
275224 - GLADE SOLID MAG&VANILLA GEL,150GM,8,2,5.49,10.98,1,50204274,0.68625,0.69,GLADE SOLID MAG&VANILLA GEL,275224 
765167 - HARPIC POWER PLUS TOILET CLEANER,750ML,6,2,4.49,8.98,1,3059941005671,0.748333333,0.75,HARPIC POWER PLUS TOILET CLEANER,765167 
