"id","stocktake_id","product_id","stock_location_shelf_id","stocktake_product_qty","seasonal_storage_box_id","stocktake_product_date_created","stocktake_product_date_modified"
183,1,205,NULL,4,40,"2015-01-01 12:00:00","0000-00-00 00:00:00"
184,1,206,NULL,1,40,"2015-01-01 12:00:00","0000-00-00 00:00:00"
185,1,207,NULL,7,40,"2015-01-01 12:00:00","0000-00-00 00:00:00"
186,1,208,NULL,7,40,"2015-01-01 12:00:00","0000-00-00 00:00:00"
187,1,209,NULL,16,40,"2015-01-01 12:00:00","0000-00-00 00:00:00"
188,1,2372,NULL,2,45,"2015-01-01 12:00:00","0000-00-00 00:00:00"
189,1,2373,NULL,1,45,"2015-01-01 12:00:00","0000-00-00 00:00:00"
190,1,2374,NULL,4,45,"2015-01-01 12:00:00","0000-00-00 00:00:00"
191,1,2375,NULL,2,45,"2015-01-01 12:00:00","0000-00-00 00:00:00"
192,1,2376,NULL,1,45,"2015-01-01 12:00:00","0000-00-00 00:00:00"
193,1,2377,NULL,2,45,"2015-01-01 12:00:00","0000-00-00 00:00:00"
194,1,2378,NULL,4,45,"2015-01-01 12:00:00","0000-00-00 00:00:00"
195,1,2380,NULL,1,48,"2015-01-01 12:00:00","0000-00-00 00:00:00"
196,1,2381,NULL,3,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
197,1,2382,NULL,7,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
198,1,2383,NULL,9,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
199,1,2384,NULL,2,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
200,1,2374,NULL,1,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
201,1,2385,NULL,1,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
202,1,2386,NULL,4,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
203,1,2387,NULL,1,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
204,1,2388,NULL,1,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
205,1,2389,NULL,2,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
206,1,47,NULL,1,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
207,1,2390,NULL,1,46,"2015-01-01 12:00:00","0000-00-00 00:00:00"
208,1,1550,NULL,4,2,"2015-01-01 12:00:00","0000-00-00 00:00:00"
209,1,1554,NULL,4,2,"2015-01-01 12:00:00","0000-00-00 00:00:00"
210,1,1556,NULL,4,2,"2015-01-01 12:00:00","0000-00-00 00:00:00"
211,2,67,NULL,3,5,"2015-01-01 12:00:00","0000-00-00 00:00:00"
238,3,2427,1,0,NULL,"2015-01-01 12:00:00","0000-00-00 00:00:00"
239,3,2410,1,0,NULL,"2015-01-01 12:00:00","0000-00-00 00:00:00"
240,NULL,5752,NULL,44,2,"2015-05-07 23:24:20","2015-05-07 23:24:20"
241,NULL,7362,NULL,8,56,"2015-10-31 18:21:47","2015-10-31 18:22:06"
242,NULL,7364,NULL,8,56,"2015-10-31 18:22:18","2015-10-31 18:22:23"
243,NULL,7367,NULL,1,56,"2015-10-31 18:22:36","2015-10-31 18:22:42"
244,NULL,7355,NULL,7,56,"2015-10-31 18:23:19","2015-10-31 18:23:35"
245,NULL,7366,NULL,3,56,"2015-10-31 18:23:45","2015-10-31 18:23:52"
246,NULL,7358,NULL,9,56,"2015-10-31 18:24:04","2015-10-31 18:24:13"
247,NULL,7391,NULL,3,56,"2015-10-31 18:25:11","2015-10-31 18:25:11"
248,NULL,7328,NULL,5,56,"2015-10-31 18:26:06","2015-10-31 18:26:36"
249,NULL,7356,NULL,4,56,"2015-10-31 18:28:12","2015-10-31 18:29:02"
250,NULL,7352,NULL,8,56,"2015-10-31 18:29:06","2015-10-31 18:29:24"
251,NULL,7354,NULL,2,56,"2015-10-31 18:29:28","2015-10-31 18:29:33"
252,NULL,7360,NULL,2,56,"2015-10-31 18:29:56","2015-10-31 18:30:00"
253,NULL,7369,NULL,3,56,"2015-10-31 18:31:22","2015-10-31 18:31:30"
254,NULL,7370,NULL,12,56,"2015-10-31 18:31:56","2015-10-31 18:32:00"
255,NULL,7392,NULL,21,56,"2015-10-31 18:34:24","2015-10-31 18:34:24"
256,NULL,7393,NULL,27,56,"2015-10-31 18:36:02","2015-10-31 18:36:02"
257,NULL,7374,NULL,6,56,"2015-10-31 18:40:16","2015-10-31 18:41:18"
258,NULL,7375,NULL,11,56,"2015-10-31 18:42:27","2015-10-31 18:42:33"
259,NULL,1184,NULL,8,56,"2015-10-31 18:42:50","2015-10-31 18:43:10"
260,NULL,7368,NULL,8,56,"2015-10-31 18:44:32","2015-10-31 18:44:42"
261,NULL,7371,NULL,4,56,"2015-10-31 18:44:58","2015-10-31 18:45:02"
262,NULL,7394,NULL,1,56,"2015-10-31 18:45:47","2015-10-31 18:45:47"
263,NULL,7378,NULL,2,56,"2015-10-31 18:46:41","2015-10-31 18:46:46"
264,NULL,7395,NULL,9,56,"2015-10-31 18:48:09","2015-10-31 18:48:09"
265,NULL,7381,NULL,7,56,"2015-10-31 18:48:53","2015-10-31 18:49:01"
266,NULL,7396,NULL,2,56,"2015-10-31 18:49:47","2015-10-31 18:49:47"
267,NULL,1185,NULL,2,56,"2015-10-31 18:50:56","2015-10-31 18:51:15"
268,NULL,7397,NULL,1,56,"2015-10-31 18:52:52","2015-10-31 18:52:52"
269,NULL,7398,NULL,2,57,"2015-10-31 18:59:30","2015-10-31 18:59:30"
270,NULL,7399,NULL,5,57,"2015-10-31 19:00:58","2015-10-31 19:00:58"
271,NULL,7400,NULL,2,57,"2015-10-31 19:01:55","2015-10-31 19:01:55"
272,NULL,7401,NULL,3,57,"2015-10-31 19:02:42","2015-10-31 19:02:42"
273,NULL,7402,NULL,4,57,"2015-10-31 19:03:43","2015-10-31 19:03:43"
274,NULL,7403,NULL,1,57,"2015-10-31 19:06:12","2015-10-31 19:06:12"
275,NULL,7404,NULL,2,57,"2015-10-31 19:07:02","2015-10-31 19:10:24"
276,NULL,7405,NULL,2,57,"2015-10-31 19:07:49","2015-10-31 19:11:55"
277,NULL,7406,NULL,1,57,"2015-10-31 19:08:55","2015-10-31 19:08:55"
278,NULL,7373,NULL,2,57,"2015-10-31 19:11:22","2015-10-31 19:24:35"
279,NULL,1185,NULL,1,57,"2015-10-31 19:12:46","2015-10-31 19:12:59"
280,NULL,7341,NULL,11,57,"2015-10-31 19:13:11","2015-10-31 19:13:56"
281,NULL,7335,NULL,10,57,"2015-10-31 19:14:14","2015-10-31 19:14:42"
282,NULL,7336,NULL,8,57,"2015-10-31 19:14:55","2015-10-31 19:15:10"
283,NULL,7407,NULL,1,57,"2015-10-31 19:16:01","2015-10-31 19:16:01"
284,NULL,7338,NULL,14,57,"2015-10-31 19:16:28","2015-10-31 19:18:03"
285,NULL,7333,NULL,6,57,"2015-10-31 19:17:11","2015-10-31 19:17:16"
