DESCRIPTION,CODE,UNIT,PACK,RRP,CASECOST£,Cost,EANCode,OUTERBARCODE,PALLET,LAYER,Name
P/HOUSE TOILET BLOCK BLUE 8PK      ,768202,PRE402,12,1.00,7.20,0.60,5050895076067 ,5050895076074  ,105,15,P/HOUSE TOILET BLOCK BLUE 8PK - PRE402
PALM S/GEL MEN ENERGISING          ,183707,250ML ,12,1.00,7.49,0.62,8003520035400 ,48714789046929 ,110,24,PALM S/GEL MEN ENERGISING - 250ML 
PALM SOAP DELICATE CARE 3PK        ,047060,90GM  ,12,1.00,8.79,0.73,8714789698953 ,08714789698939 ,150,15,PALM SOAP DELICATE CARE 3PK - 90GM  
PALM SOAP MOISTURE CARE 3PK        ,034310,90GM  ,12,1.00,8.79,0.73,8714789698922 ,08714789698908 ,150,15,PALM SOAP MOISTURE CARE 3PK - 90GM  
PAMPERS FRESH WIPES REFILL         ,952144,64'S  ,12,1.00,7.89,0.66,4015400622840 ,4015400422334  ,160,20,PAMPERS FRESH WIPES REFILL - 64'S  
PAROZONE PLUS L/SCALE REM BLEACH   ,176281,750ML ,9,1.00,5.95,0.66,5000185112401 ,05000185032617 ,90,18,PAROZONE PLUS L/SCALE REM BLEACH - 750ML 
PAROZONE TLET WIPES CITRUS         ,981309,40S   ,8,1.00,5.69,0.71,5000185103652 ,05000185028603 ,308,44,PAROZONE TLET WIPES CITRUS - 40S   
PAROZONE TOILET WIPES ORIG         ,977283,40S   ,8,1.00,5.69,0.71,5000185103096 ,05000185028610 ,308,44,PAROZONE TOILET WIPES ORIG - 40S   
PEARL SOAP WHITE 4PK               ,034542,90GM  ,9,1.15,7.09,0.79,5000101095467 ,05000101095481 ,132,22,PEARL SOAP WHITE 4PK - 90GM  
PERSIL COLOUR 100 WASH             ,775819,7KG   ,1,16.99,11.49,11.49,8717644844960 ,8712561315340  ,84,28,PERSIL COLOUR 100 WASH - 7KG   
PLEDGE 5 IN 1 POLISH LAVENDER      ,174425,250ML ,6,1.00,4.09,0.68,5000204690057 ,05000204689150 ,240,60,PLEDGE 5 IN 1 POLISH LAVENDER - 250ML 
PLEDGE 5 IN 1 POLISH WOOD CLASSIC  ,174417,250ML ,6,1.00,4.09,0.68,5000204690088 ,05000204689068 ,240,60,PLEDGE 5 IN 1 POLISH WOOD CLASSIC - 250ML 
PREGNANCY TEST STRIPS              ,950940,3PK   ,12,1.00,4.99,0.42,5060087362854 ,05060087364247 ,648,216,PREGNANCY TEST STRIPS - 3PK   
PRETTY POCKET TISSUES(R)           ,921876,10PK  ,30,0.59,11.50,0.38,5031413900484 ,5031413900620  ,36,6,PRETTY POCKET TISSUES(R) - 10PK  
RADOX ESS BATH CREAM SOFT CARE     ,860991,500ML ,6,1.00,3.99,0.67,5000231087486 ,05000231087493 ,244,61,RADOX ESS BATH CREAM SOFT CARE - 500ML 
RADOX H/W A/BAC&REPLENISH          ,202820,250ML ,6,1.00,3.99,0.67,8712561736718 ,08712561736718 ,376,47,RADOX H/W A/BAC&REPLENISH - 250ML 
RADOX H/W HYGENIC MOISTURE         ,212233,250ML ,6,1.00,3.89,0.65,8712561737289 ,08712561736817 ,376,47,RADOX H/W HYGENIC MOISTURE - 250ML 
RADOX H/WASH CLEAN & PROTECT       ,947567,300ML ,6,1.00,3.99,0.67,8711700616843 ,8711700616850  ,240,48,RADOX H/WASH CLEAN & PROTECT - 300ML 
RADOX HERBAL BATH EASTERN SPIRIT   ,203795,500ML ,6,1.00,3.99,0.67,5000231082849 ,05000231082856 ,244,61,RADOX HERBAL BATH EASTERN SPIRIT - 500ML 
