PRODUCT,INNER,OUTER,DESCRIPTION,CARTONS ORDERED,PCS ORDERED,BARCODE,PIECEPRICE,TOTAL PRICE,STOCK STATUS
ST5089,6,36,A4 SKETCH PAD - 80 SHEETS,1,36,5024418417699,1.35,48.60,Picked
ST5090,6,18,A3 SKETCH PAD - 80 SHEETS,1,18,5024418417705,2.50,45.00,20/09/2015
ST5088,12,60,A5 SKETCH PAD - 80 SHEETS,1,60,5024418417682,0.75,45.00,Picked
ST1320B,12,72,6PCS ARTIST BRUSHES,1,72,5024418377108,0.65,46.80,Picked
HH4952,4,12,S/6 STORAGE BOXES 20X15X11CM,1,12,5024418493525,5.00,60.00,Picked
CR0834,12,72,4 AS SIZES CRAFTING BALLS,1,72,5024418945628,0.50,36.00,19/09/2015
XCR0064,12,72,PK12 POLYSTYRENE CRAFT SHAPES,1,72,5024418942658,0.50,36.00,11/08/2015
ST2155B,12,72,A5 CLEAR BAGS X 24PCS,1,72,5024418532262,0.50,36.00,25/10/2015
ST2154B,12,72,A6 CLEAR BAGS X36PCS,1,72,5024418532255,0.50,36.00,09/09/2015
ST5225B,12,72,8 CRAFT STORAGE TUBS,1,72,5024418695752,0.55,39.60,Picked
ST7017,12,72,PK60 CRAFT SEAL BAG 12.7X7.6,1,72,5024418592563,0.50,36.00,Picked
ST7018,12,72,PK40 CRAFT SEAL BAGS 12.4X18,1,72,5024418592570,0.50,36.00,Picked
ST7016,12,96,PK80 CRAFT SEAL BAGS 5X9.5CM,1,96,5024418592556,0.50,48.00,18/08/2015
CR0026,12,72,2X4X4 CRAFT GLASS BOTTLES,1,72,5024418632627,0.50,36.00,27/09/2015
CR0861,12,72,11X30CM CRAFTING SHEET STICKER,1,72,5024418985044,0.50,36.00,31/08/2015
CR0860,12,72,11X25CM RAINBOW SHEET STICKERS,1,72,5024418985020,0.50,36.00,31/08/2015
CR0864,12,72,11X25CM METALIC SHEET STICKERS,1,72,5024418985082,0.50,36.00,31/08/2015
CR0866,12,72,10X25CM DAISY SHEET STICKERS,1,72,5024418985105,0.50,36.00,31/08/2015
CR0862,12,72,10X25CM COLOUR STRIP STICKERS,1,72,5024418985068,0.50,36.00,31/08/2015
CR0863,12,72,10X25CM RAINBOW STRIP STICKERS,1,72,5024418985075,0.50,36.00,31/08/2015
CR0851,12,72,25CM CRAFTNG GEM SHEETS,1,72,5024418957225,0.50,36.00,19/09/2015
CR0844,12,72,25CM CRAFTNG GEM SHEETS,1,72,5024418946991,0.50,36.00,19/09/2015
CR0869,12,72,30X10 ADHESIVE CRAFT GEMS,1,72,5024418985426,0.50,36.00,15/10/2015
ST4542,12,72,PK18 CRAFT DIAMANTE STRIPS,1,72,5024418475972,0.48,34.56,Picked
CR0737,12,72,27.7X10.5CM CRAFT GEM STICKERS,1,72,5024418869672,0.55,39.60,Picked
ST7052,12,72,32X11CM GEM STICKERS 6 ASTD,1,72,5024418598701,0.45,32.40,Picked
CR0865,12,72,7X25CM PEARL SHEET STICKERS,1,72,5024418985099,0.50,36.00,31/08/2015
CR0231,12,72,22X12 LACE STYLE BORDER STICKERS,1,72,5024418678137,0.48,34.56,Picked
