Line,Code,Description,SKU,OrderedUnit,Ordered,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
44,BKC/3,"ACT,15 JUMBO CHALKS",,24,2,0.50,12.00,0.0325,10.68,5012128432132,05024004432136,12,0,0.02,2.4
45,BRIC,"ACT, BRICK SHAPE ERASERS",,24,1,0.50,12.00,0.0084,3.34,5012128469305,05024004771518,24,12,0.00,2.4
46,SOAM,"ACT, PK 4 CHUNKY PAINTS CDU",,24,2,0.50,12.00,0.0198,5.56,5012128447723,05024004737835,12,0,0.01,2.4
47,PNUG,"ACT,GLIT PAINT WHT/PINK/BL 250ML CDU",,24,1,0.52,12.48,0.0158,7.16,5012128473708,05024004778661,24,12,0.01,2.5
48,PNTQ,"ACT,REG PAINT 250ML MIXED RD/YEL/BLU",,24,1,0.52,12.48,0.0166,7.06,5012128473401,05024004778142,24,12,0.01,2.5
49,WOPU,"ACT, 3D PYO WOODEN PUZZLE (2 DESG)",,24,1,0.82,19.68,0.0277,5.30,0000000000000,05024004739594,24,12,0.02,3.94
50,PWHR/2,"ACT, WOOD PUZZLE (TRAIN)",,48,1,0.53,25.44,0.0310,4.76,5012128340857,05024004540749,48,24,0.03,5.09
51,PWGL/2,"ACT, WOOD PUZZLE (CASTLE)",,48,1,0.53,25.44,0.0313,4.70,5012128342332,05024004543993,48,24,0.03,5.09
52,PMBE/1,"ACT, PYO MONEY BOX (3 DESIGNS)",,24,1,1.00,24.00,0.0769,7.64,5012128390357,05024004649473,24,0,0.08,4.8
53,PMOL/1,"ACT, MYO FIGURES PONIES & FARIES",,24,1,0.53,12.72,0.0305,5.60,5012128470080,05024004773093,24,12,0.03,2.54
54,PBOY/1,"ACT, MYO FIGURINES BOYS 2 DESIGNS",,24,1,0.53,12.72,0.0312,5.64,5012128344503,05024004548677,24,12,0.03,2.54
55,CDT/4,"ACT,10 COLOURED DOUGH STICKS IN TUB",,36,1,0.50,18.00,0.0395,9.56,5012128423406,05024004423400,36,12,0.06,3.6
56,DCUP/2,"ACT, CUPCAKE DOUGH SET",,12,1,1.53,18.36,0.0474,6.34,5012128370113,05024004605561,12,0,0.05,3.67
57,DPEP/2,"ACT, DOUGH FUN CREATURES DOUGH SET",,12,1,1.53,18.36,0.0472,6.56,5012128370137,05024004605608,12,0,0.05,3.67
58,BIRD/2,ACT MONEY BOX DOUGH,,24,1,1.05,25.20,0.0764,10.12,5012128342684,05024004544716,24,6,0.06,5.04
59,MAGK,"ACT, SAND DOUGH 160G 2 MOULDS (CDU)",,12,1,0.55,6.60,0.0143,2.80,5012128469602,05024004772126,12,0,0.01,1.32
60,GCSE,"ACT, GLITTER & CONFETTI SET",,24,1,0.50,12.00,0.0200,2.06,5012128448195,05024004738719,24,12,0.02,2.4
61,SCIS/3,"ACT,2 ANIMAL PRINTED SCISSORS",,24,1,0.42,10.08,0.0084,1.46,5012128268212,05024004369289,24,0,0.00,2.02
62,GLVV/1,"ACT,250ML WHITE KRAFT GLUE",,96,4,0.49,47.04,0.0678,29.04,5012128388651,05024004645994,24,12,0.05,9.41
63,LOLY,"ACT, 100PK LOLLY STICKS CLIP",,24,1,0.46,11.04,0.0187,4.10,5012128447587,05024004737750,24,12,0.01,2.21
64,POPO,"ACT, 100 MIX GLITTER POM POMS CDU",,12,1,0.50,6.00,0.0124,0.92,5012128447464,05024004737514,12,0,0.01,1.2
65,ACTP/5,"ACT, ASSORTED CRAFT 2 DESIGNS",,24,1,0.52,12.48,0.0196,2.34,5012128469268,05024004771433,24,12,0.02,2.5
66,ACFT,"ACT, CRAFT CARRY BAG",,6,1,1.90,11.40,0.0269,2.62,5012128451195,05024004744178,6,0,0.02,2.28
67,FOAS,"ACT, 10PK FOAM SHEETS",,48,2,0.50,24.00,0.0679,6.64,5012128447471,05024004737538,24,12,0.05,4.8
68,KHPU/1,ACT SEWING MYO PUPPETS (3DESIGNS),,24,1,0.52,12.48,0.0112,1.52,5012128393013,05024004655276,24,12,0.00,2.5
69,STKC,"ACT, UNISEX STICKERS 3 ASSTD SHEETS",,24,1,0.42,10.08,0.0039,0.82,5012128470066,05024004773048,24,12,0.00,2.02
70,STKE,"ACT, GIRLS STICKERS 3 ASSTD SHEETS",,24,1,0.42,10.08,0.0041,0.82,5012128469695,05024004772300,24,12,0.00,2.02
71,STKG,"ACT, REWARD STICKERS 3 ASSTD SHEETS",,24,1,0.42,10.08,0.0041,0.82,5012128469671,05024004772263,24,12,0.00,2.02
72,STKD,"ACT, BOYS STICKERS 3 ASSTD SHEETS",,24,1,0.42,10.08,0.0041,0.82,5012128469701,05024004772324,24,12,0.00,2.02
73,STKF,"ACT, EDUCATION STICKERS 3 SHEETS",,24,1,0.42,10.08,0.0041,0.82,5012128469688,05024004772287,24,12,0.00,2.02
74,SWOT/3,"ACT,40SH A4 BRIGHT PAPER PAD",,48,2,0.52,24.96,0.0211,11.92,5012128340390,05024004539552,24,12,0.01,4.99
75,COLJ,"ACT,60SH A4 CLRD ACTIVITY PAPER PAD",,48,1,0.52,24.96,0.0309,13.12,5012128381287,05024004630068,48,24,0.03,4.99
76,SUZP/2,"ACT,40SH A4 PASTEL PAPER PAD",,48,2,0.52,24.96,0.0191,11.00,5012128269820,05024004372500,24,12,0.04,4.99
77,COLE,"ACT, 15SH 5 COLOURED CARD",,48,2,0.50,24.00,0.0334,12.36,5012128450907,05024004743638,24,12,0.03,4.8
78,HOLO,"ACT, 10SH 4 COLOURS HOLOGRAPHIC CARD",,48,2,0.50,24.00,0.0372,8.60,5012128450891,05024004743614,24,12,0.02,4.8
79,PWI/8,"ACT, 12SH A4 PASTEL COLOURED CARD",,48,2,0.50,24.00,0.0217,9.40,5012128096266,05024004096260,24,12,0.03,4.8
80,AHA/3,"ACT,10SH A4 FLUORESCENT CARD",,24,1,0.50,12.00,0.0078,3.82,5012128401817,05024004401811,24,12,0.00,2.4
81,PVR/4,"ACT,20SH A4 BLACK CARD",,48,2,0.52,24.96,0.0297,15.80,5012128109416,05024004109410,24,12,0.02,4.99
82,WCAR/2,"ACT,20SH WHITE CARD",,48,2,0.50,24.00,0.0249,17.20,5012128395390,05024004660393,24,12,0.02,4.8
83,PAQ/2,"ACT, 15SH A4 TRACING PAPER",,24,1,0.50,12.00,0.0045,2.06,5012128079382,05024004079386,24,12,0.00,2.4
