Product Code,Product Description,2014 RRP Exc VAT,2014 RRP INC VAT,BRUSH CODE,MOQ,VAT,Barcode,Notes
35FA513,FA Cayman Blue 2oz,1.29,1.55,,6,yes,28995005138,
35FA627,FA Tangerine 2oz,1.29,1.55,,6,yes,28995006272,
35FA628,F/A Bril Pure Orange 2oz,1.29,1.55,,6,yes,28995006289,
35FA634,FA Hot Pink 2oz,1.29,1.55,,6,yes,28995006340,
35FA639,F/A Bril French Blue 2oz,1.29,1.55,,6,yes,28995006395,
35FA640,FA Light Periwinkle 2oz,1.29,1.55,,6,yes,28995006401,
35FA644,F/A Bril Grass Green 2oz,1.29,1.55,,6,yes,28995006449,
35FA652,F/A Metallic Rose 2oz,1.75,2.1,,6,yes,28995006524,
35FA656,FA Met Blue Sapphire 2oz,1.75,2.1,,6,yes,28995006562,
35FA658,FA Met Antique Gold 2oz,1.75,2.1,,6,yes,28995006586,
35FA660,FA Met Pure Gold 2oz,1.75,2.1,,6,yes,28995006609,
35FA662,FA Met Silver 2oz,1.75,2.1,,6,yes,28995006623,
35FA663,FA Met Solid Bronze 2oz,1.75,2.1,,6,yes,28995006630,
35FA667,FA Met Gunmetal Grey 2oz,1.75,2.1,,6,yes,28995006678,
35FA676,F/A Metall Inca Gold 2oz,1.75,2.1,,6,yes,28995006760,
35FA694,FA Crackle Medium 2oz,1.75,2.1,,6,yes,28995006944,
35FA720,FA Cobalt Blue 2oz,1.29,1.55,,6,yes,28995007200,
35FA736,FA School Bus Yellow 2oz,1.29,1.55,,6,yes,28995007361,
35FA794,FA Textile Medium 2oz,1.75,2.1,,6,yes,28995007941,
35FA868,F/A Floating Medium 2oz,1.75,2.1,,6,yes,28995008689,
35FA882,FA Gloss Varnish 2oz,1.75,2.1,,6,yes,28995008825,
35FA901,FA Whicker White 2oz,1.29,1.55,,6,yes,28995009013,
35FA903,FA Tapioca 2oz,1.29,1.55,,6,yes,28995009037,
35FA904,FA Lemonade 2oz,1.29,1.55,,6,yes,28995009044,
35FA917,FA Yellow Ochre 2oz,1.29,1.55,,6,yes,28995009174,
35FA918,F/A Yellow Light 2oz,1.29,1.55,,6,yes,28995009181,
35FA920,F/A Autumn Leaves 2oz,1.29,1.55,,6,yes,28995009204,
35FA924,F/A Thicket 2oz,1.29,1.55,,6,yes,28995009242,
35FA938,FA Liquorice 2oz,1.29,1.55,,6,yes,28995009389,
35FA939,F/A Butter Pecan 2oz,1.29,1.55,,6,yes,28995009396,
35FA940,FA Coffee Bean 2oz,1.29,1.55,,6,yes,28995009402,
35FA943,F/A Burnt Sienna 2oz,1.29,1.55,,6,yes,28995009433,
35FA945,F/A Maple Syrup 2oz,1.29,1.55,,6,yes,28995009457,
35FA949,FA Skintone 2oz,1.29,1.55,,6,yes,28995009495,
35FA954,F/A Fresh Foliage 2oz,1.29,1.55,,6,yes,28995009549,
35FA957,FA Burgundy 2oz,1.29,1.55,,6,yes,28995009570,
35FA961,F/A Turquoise 2oz,1.29,1.55,,6,yes,28995009617,
35FA964,F/A Midnight 2oz,1.29,1.55,,6,yes,28995009648,
35FAE4001,F/A Enamel W.White 2oz,1.75,2.1,,6,yes,28995040016,
35FAE4004,F/A EN But Magen 2oz,1.75,2.1,,6,yes,28995040047,
35FAE4005,F/A EN Aut Leaves 2oz,1.75,2.1,,6,yes,28995040054,
35FAE4006,F/A EN Engine Red 2oz,1.75,2.1,,6,yes,28995040061,
35FAE4008,F/A EN Pure Orange 2oz,1.75,2.1,,6,yes,28995040085,
35FAE4012,F/A EN Burnt Umber 2oz,1.75,2.1,,6,yes,28995040122,
35FAE4013,F/A EN Coffee Bean 2oz,1.75,2.1,,6,yes,28995040139,
35FAE4015,F/A Enam Yel Ochre 2oz,1.75,2.1,,6,yes,28995040153,
35FAE4016,F/A Enam Bus Yellow 2oz,1.75,2.1,,6,yes,28995040160,
35FAE4018,F/A Enam Sunflower 2oz,1.75,2.1,,6,yes,28995040184,
35FAE4019,F/A Enam F.Foliage 2oz,1.75,2.1,,6,yes,28995040191,
35FAE4021,F/A Enam Green For 2oz,1.75,2.1,,6,yes,28995040214,
35FAE4022,F/A Enam Thicket 2oz,1.75,2.1,,6,yes,28995040221,
35FAE4023,F/A Enam Ital Sage 2oz,1.75,2.1,,6,yes,28995040238,
35FAE4024,F/A Enam Ital Hydran 2oz,1.75,2.1,,6,yes,28995040245,
35FAE4026,F/A EN Ital Midnight 2oz,1.75,2.1,,6,yes,28995040269,
35FAE4028,F/A Enam Purp lilac 2oz,1.75,2.1,,6,yes,28995040283,
35FAE4032,F/A Enam Liquorice 2oz,1.75,2.1,,6,yes,28995040320,
35FAE4033,F/A Enamel Gold 2oz,1.75,2.1,,6,yes,28995040337,
35FAE4038,F/A Enamel Magenta 2oz,1.75,2.1,,6,yes,28995040382,
35FAE4060,F/A EN Flow Medium 2oz,1.75,2.1,,6,yes,28995762918,
ISCLW2001,"Sculpey UltraLight -- White, 10.3 oz.",7.92,9.5,,3,Yes,7.16E+11,
ISCPE MPC-6 ,"Premo! Sculpey Multipack -- Classic, 6 x 1 oz (28 g)",5.83,6.99,,1,yes,7.16E+11,NEW
ISCPE MPM-6,"Premo! Sculpey Accents Multipack -- Metallic, 6 x 1 oz (28 g)",5.83,6.99,,1,yes,7.16E+11,NEW
ISCPE MPP-6,"Premo! Sculpey Accents Multipack -- Pearls, 6 x 1 oz (28 g)",5.83,6.99,,1,yes,7.16E+11,NEW
ISCPE025001,premo! Sculpey -- White,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025003,premo! Sculpey -- Denim,2.04,2.45,,5,Yes,7.16E+11,
