Line,Code,Description,Ordered,OrderedOut,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
113,STKF,"ACT, EDUCATION STICKERS 3 SHEETS",24,1,0.45,10.80,0.0041,0.82,5012128469688,05024004772287,24,12,0.00,2.16
114,CLLW,"ACT,A4 WIGGLY EYES COLOURING BOOK",24,1,0.50,12.00,0.0072,2.76,5012128495786,05024004817711,24,12,0.00,0
115,CLOC,"ACT, A4 PUZZLE BOOK W'SEARCH C&",24,1,0.50,12.00,0.0059,2.76,5012128497087,05024004819531,24,12,0.00,0
116,CTFR/1,ACT - COPY COLOURING BOOK A4 20SHTS,48,1,0.50,24.00,0.0273,9.86,5012128484513,05024004798164,48,12,0.02,0
117,SUZP/2,"ACT,40SH A4 PASTEL PAPER PAD",24,1,0.52,12.48,0.0095,5.50,5012128269820,05024004372500,24,12,0.02,2.5
118,SWOT/4,"ACT, 30 SHEET A4 BRIGHT PAPER PAD",24,1,0.52,12.48,0.0082,4.62,5012128340390,05024004539552,24,12,0.00,2.5
119,COLJ/2,"ACT,40SH A4 CLRD ACTIVITY PAPER PAD",24,1,0.52,12.48,0.0109,4.76,5012128381287,05024004630068,24,12,0.00,2.5
120,SCVU/6,"ACT, 60 SHEET A4 DRAWING PAD",24,1,0.52,12.48,0.0117,7.28,5012128269479,05024004371800,24,12,0.01,2.5
121,BLKD/5,"ACT, 30SH A4 BLACK PAPER PAD",24,1,0.52,12.48,0.0128,6.40,5012128463501,05024004761564,24,12,0.01,2.5
122,SSI/3,"ACT,20SHT COLOURED PAPER SCRAPBOOK",24,1,0.52,12.48,0.0125,4.80,5012128100550,05024004100554,24,12,0.01,2.5
123,SBOK/1,"ACT, 25SHT BLACK PAPER SCRAPBOOK",24,1,0.52,12.48,0.0081,4.68,5012128468841,05024004770610,24,12,0.00,2.5
124,WCAR/3,"ACT, 15 SHEETS WHITE CARD",48,2,0.50,24.00,0.0197,12.48,5012128395390,05024004660393,24,12,0.01,4.8
125,PVR/5,"ACT, 15 SHEETS A4 BLACK CARD",24,1,0.50,12.00,0.0110,5.40,5012128109416,05024004109410,24,12,0.00,2.4
126,AHA/3,"ACT,10SH A4 FLUORESCENT CARD",24,1,0.49,11.76,0.0078,3.82,5012128401817,05024004401811,24,12,0.00,2.35
127,PWI/9,"ACT, 10 SHEET A4 PASTEL COLOUR CARD",48,2,0.49,23.52,0.0171,8.12,5012128096266,05024004096260,24,12,0.01,4.7
128,COLE/1,"ACT, 10SH 5 COLOURED CARD",48,2,0.49,23.52,0.0260,8.78,5012128450907,05024004743638,24,12,0.02,4.7
129,PAQ/3,"ACT, 10 SHEETS A4 TRACING PAPER",24,1,0.49,11.76,0.0043,1.64,5012128079382,05024004079386,24,12,0.00,2.35
130,GLTQ,"ACT, 6 SHEETS GLITTER CARD 3 COLOURS",48,2,0.48,23.04,0.0139,5.84,5012128501982,05024004827031,24,12,0.01,4.61
131,PVW/5,"ACT, 15SHEET A4 ANIMAL PRINT CARD",24,1,0.50,12.00,0.0115,6.92,5012128109409,05024004109403,24,12,0.00,2.4
132,PVI/4,"ACT, 8 SHEET A4 COLOURED MIRROR CARD",96,4,0.48,46.08,0.0474,14.64,5012128109386,05024004109380,24,12,0.04,9.22
133,PVO/6,"ACT, 8SH A4 GOLD/SILVER MIRROR CARD",96,4,0.48,46.08,0.0480,14.48,5012128109393,05024004109397,24,12,0.03,9.22
134,HOLO/1,"ACT, 8SH 4 COLOURS HOLOGRAPHIC CARD",48,2,0.48,23.04,0.0240,7.28,5012128450891,05024004743614,24,12,0.02,4.61
135,CHAR,EDUCATIONAL - 6 REWARD CHARTS,48,1,0.53,25.44,0.0188,5.66,5012128483028,05024004795460,48,12,0.02,5.09
136,WOWH,EDUCATIONAL - A5 WIPE CLEAN BK WRITE,24,1,0.55,13.20,0.0117,2.58,5012128477553,05024004785539,24,12,0.00,0
137,NUWH,EDUCATIONAL -A5 WIPE CLEAN BK NMBRS,24,1,0.55,13.20,0.0108,2.68,5012128477522,05024004785478,24,12,0.01,0
138,TAWJ,EDUCATION - A5 WIPE CLEAN BK T TABLE,24,1,0.55,13.20,0.0110,2.56,5012128477539,05024004785492,24,12,0.01,0
139,SPWH,EDUCATIONAL - A5 WIPE CLEAN BK SPELL,24,1,0.55,13.20,0.0113,2.58,5012128477546,05024004785515,24,12,0.01,0
140,MAGZ,EDUCATIONAL - MAGNET LETTERS SHEET,48,1,0.52,24.96,0.0071,6.26,5012128484452,05024004798041,48,12,0.00,4.99
141,DAHO/1,EDUCATIONAL - WIPE CLEAN A4 BOOK 16P,24,1,0.50,12.00,0.0059,3.56,5012128484476,05024004798089,24,0,0.00,2.4
142,DRER,EDUCATIONAL - 3 WIPE CLEAN MARKERS,24,1,0.52,12.48,0.0076,1.25,5012128484490,05024004798126,24,12,0.00,2.5
143,ECLO/1,EDUCATIONAL TELL THE TIME CLOCK,48,1,0.54,25.92,0.0361,5.72,5012128393068,05024004655375,48,24,0.04,5.18
144,TFDN/2,"EDUCATIONAL, ALPHA&NUMBER CARDS",48,1,0.53,25.44,0.0161,4.90,5012128386749,05024004641934,48,24,0.01,5.09
145,TFMO/2,"EDUCATIONAL, MONSTER/FAIRY CARDS CDU",48,1,0.53,25.44,0.0161,4.90,5012128386732,05024004641910,48,24,0.01,5.09
,BKLM,Bricks Girls(6401) 90 Pcs Dressing Room,6,1,1.45,8.70,0.0141,1.30,5012128428616,05024004712566,6,0,0.01,1.74
,BKLM,Bricks Girls(6402) 90 Pcs Bedroom Set,6,1,1.45,8.70,0.0141,1.30,5012128428623,05024004712566,6,0,0.01,1.74
,BKKJ,Bricks Army (2404) 116 Pcs Army Tank,6,1,1.45,8.70,0.0149,1.30,5012128428586,05024004712542,6,0,0.01,1.74
,BKKJ,Bricks Army (2405) 120 Pcs Army Truck,6,1,1.45,8.70,0.0149,1.30,5012128428593,05024004712542,6,0,0.01,1.74
,BKJH,Bricks Police (4404) 106 Pcs Police SUV,6,1,1.45,8.70,0.0141,1.38,5012128428562,05024004712528,6,0,0.01,1.74
,BKJH,Bricks Police (4405) 122 Pcs Police Helicopter,6,1,1.45,8.70,0.0141,1.38,5012128428579,05024004712528,6,0,0.01,1.74
