Account,Customer Name,Product,Description,EAN,outerQ,InnerQ,Price,Qty,Value,Weight,Prod Height (cm),Prod Width (cm),Prod Length (cm),Outer,InnerB
TO00041,LYNDA MILES T/AS MILES APART,LFAP,CREATETHELOOK-8XFASHIONFABRIC PAINTS,5012128390388.00,36,12,0.53,36,19.08,0.12,2,21.2,23,5024004649534.00,5024004649541.00
TO00041,LYNDA MILES T/AS MILES APART,LH/3,GLASS CLIP FRAME A4 CERT 21X29.7CM,5012128012082.00,24,12,0.59,144,84.96,0.4,30.2,21.5,1.2,5024004073667.00,
TO00041,LYNDA MILES T/AS MILES APART,LK12/1,ALB - SELF ADHESIVE 40 SHEETS,5012128338533.00,12,0,3.15,12,37.8,1.12,29.1,6.3,24,5024004535189.00,
TO00041,LYNDA MILES T/AS MILES APART,LMAT,CREATETHELOOK-DESIGNYOUROWNFASHRANGE,5012128390371.00,36,12,0.53,36,19.08,0.06,2.5,27.5,15,5024004649510.00,5024004649527.00
TO00041,LYNDA MILES T/AS MILES APART,LNO/4,"STAT,A4 PHOTO PAPER,GLOSS,9 SHEET",5012128136450.00,48,24,0.48,48,23.04,0.18,32.5,0.3,23,5024004136454.00,5024004614693.00
TO00041,LYNDA MILES T/AS MILES APART,LOM/4,"STAT,A4 PHOTO PAPER,MATT,9 SHEET",5012128136481.00,48,24,0.48,48,23.04,0.18,33,0.3,23,5024004136485.00,5024004615072.00
TO00041,LYNDA MILES T/AS MILES APART,LS/3,GLASS CLIP FRAME 10X12IN (24X30CMS),5012128012198.00,24,12,0.74,24,17.76,0.48,31.7,1.2,25.8,5024004073674.00,
TO00041,LYNDA MILES T/AS MILES APART,LTSS,CARDS MONEY WALLETS X 4 TRADITIONAL,5012128405303.00,48,0,0.45,96,43.2,0.08,0.3,18,44.5,5024004677803.00,
TO00041,LYNDA MILES T/AS MILES APART,LTT,"STAT 2 X LETTER TRAY, 2 X COLOURS1",5012128572005.00,12,0,1.99,12,23.88,0.56,5.5,26,32.1,5024004572009.00,
TO00041,LYNDA MILES T/AS MILES APART,LTT/1,"STAT 2 X LETTER TRAY, 2 X COLOURS",5012128572005.00,12,0,1.99,12,23.88,0.42,5.5,27,33,5024004572009.00,
