Code,Description,Inner,Outer,Cost,Inner Price,Barcode,Vat,Case Weight,Case Width,Case Height,Case Depth,Inner Weight,Inner Width,Inner Height,Inner Depth
TY3400,STRIPED COLOUR WINDMILLS - ASSEMBLED,48,48,0.55,26.4,5033849024901,20.00,2.35,31,39,60,2.35,31,39,60
TY3456,EXCAVATION KIT - SEMI PRECIOUS STONE (6 ASST) - D/BOX,48,144,0.5,24,5033849025465,20.00,14.6,25,37,37,4.87,8.33,12.33,12.33
TY3485,5pc DINOSAUR SET IN DOUBLE BLISTER WINDOW BOX,12,24,2.85,34.2,5033849025755,20.00,16.05,91,64,44,8.03,45.5,32,22
TY3570,CHILDRENS PLAYING CARDS - FOUR PACK,48,144,0.55,26.4,5033849026608,20.00,23.8,40,25,90,7.93,13.33,8.33,30
TY3620,"PIRATE GUN 2 ASSORTED - ""PIRATES""",24,48,1.2,28.8,5033849027100,20.00,11.05,38,86,53,5.53,19,43,26.5
TY3675,"RUBBER MALLET - STEEL SHAFT - 16oz - ""OUT THERE""",40,40,0.85,34,5033849027650,20.00,25.3,41,31,54,25.3,41,31,54
TY3690,200 x 120 x 130cm POP UP BEACH SHELTER CARRYBAG/INSERT,10,10,6.5,65,5033849027803,20.00,11.75,56,15,56,11.75,56,15,56
TY3699,"14"" JOINTED TEDDY BEARS IN DISPLAY BOX",9,18,2.85,25.65,5033849027896,20.00,7.6,46,74,39,3.8,23,37,19.5
TY3739,"20 LITRE CAMPING WATER CARRIER - ""OUT THERE""",24,48,1.65,39.6,5033849075842,20.00,17.1,49,35,60,8.55,24.5,17.5,30
TY3768,2 TRANSPARENT COLOURED WATERPISTOLS IN POLYBAG HEADER,24,144,0.55,13.2,5033849040741,20.00,15.05,71,98,21,2.51,11.83,16.33,3.5
TY3788,"PP PLASTIC TRACTOR IN WINDOW BOX / DBX ""FARM SERIES""",6,48,0.98,5.88,5033849040949,20.00,15.35,91,58,35,1.92,11.38,7.25,4.38
TY3803,"SIZE 3 CRICKET SET IN MESH CARRY BAG - ""M.Y""",20,20,2.68,53.6,5033849028114,20.00,17.9,28,39,74,17.9,28,39,74
TY3812,"6"" 32 PANEL PVC SOFT FOOTBALL IN DISPLAY BOX ""M.Y""",6,96,1.18,7.08,5033849028060,20.00,20.3,93,67,65,1.27,5.81,4.19,4.06
TY3829,12pc PULL BACK MICRO CARS - CLAMSHELL - STREET MACHINES,24,72,1.25,30,5033849028251,20.00,13.3,25,88,78,4.43,8.33,29.33,26
TY3834,BEACH TRUCK SET IN NET PACK 2 ASST COLS/2 ASST STYLES,48,48,1.28,61.44,5033849028183,20.00,12.4,34,91,85,12.4,34,91,85
TY3850,"48"" SCARECROW ON BAMBOO STICK - 2 ASSORTED",20,20,1.1,22,5033849028763,20.00,6.5,42,48,82,6.5,42,48,82
TY3917,LOOMY BANDZ LOOM WITH BANDS & ACCESSORIES,24,96,0.55,13.2,5033849044183,20.00,12.3,49,38,39,3.08,12.25,9.5,9.75
TY3919,300pc RUBBER LOOM BANDS WITH 12 HOOKS IN DISPLAY BOX,24,288,0.28,6.72,5033849412098,20.00,9.95,57,29,41,0.83,4.75,2.42,3.42
TY3920,300pc GLOW IN THE DARK RUBBER LOOM BANDS WITH 12 HOOKS,24,288,0.28,6.72,5033849044213,20.00,9.9,57,29,41,0.83,4.75,2.42,3.42
TY4085,2000pc LOOM BANDS WITH 50 HOOKS - BLISTERCARD,24,72,0.85,20.4,5033849051822,20.00,19.65,95,37,53,6.55,31.67,12.33,17.67
TY4089,LOOM BAND KIT IN PLASTIC CASE WITH 2500pc BANDS,24,24,3.6,86.4,5033849051860,20.00,16.95,69,40,36,16.95,69,40,36
TY4239,"103"" x 69"" x 22"" 2 RING FAMILY POOL",2,2,11.75,23.5,78257564835,20.00,10.95,22,42,37,10.95,22,42,37
TY4242,"12"" HIGH OUTPUT HAND PUMP",12,12,1.25,15,78257686124,20.00,5.25,44,32,33,5.25,44,32,33
TY4307,"20"" GLOSSY PANEL BEACH BALL (NP)",36,36,0.39,14.04,78257590209,20.00,3.85,33,26,21,3.85,33,26,21
TY4312,POOL SCHOOL DELUXE SWIM VEST - AGES 3-6 NEW GRAPHICS 14,24,24,1.35,32.4,78257586608,20.00,7.65,27.5,27,36,7.65,27.5,27,36
TY4324,"45"" x 10"" 3 RING CRYSTAL BLUE POOL (NP) IN POLYBAG",12,12,1.95,23.4,78257594160,20.00,10.45,42,29,28,10.45,42,29,28
TY4330,REPAIR KIT (GLUE/PATCH) - (NP) ON BLISTERCARD,36,36,0.35,12.6,78257596324,20.00,1.2,29.5,18,14.5,1.2,29.5,18,14.5
